sepal length;sepal width;petal length;petal width;class;tamanho flor
6.2;2.9;4.3;1.3;Iris-versicolor;10.5
5.1;2.5;3.0;1.1;Iris-versicolor;8.1
5.7;2.8;4.1;1.3;Iris-versicolor;9.8
6.3;3.3;6.0;2.5;Iris-virginica;12.3
5.8;2.7;5.1;1.9;Iris-virginica;10.899999999999999
7.1;3.0;5.9;2.1;Iris-virginica;13.0
6.3;2.9;5.6;1.8;Iris-virginica;11.899999999999999
6.5;3.0;5.8;2.2;Iris-virginica;12.3
7.6;3.0;6.6;2.1;Iris-virginica;14.2
4.9;2.5;4.5;1.7;Iris-virginica;9.4
7.3;2.9;6.3;1.8;Iris-virginica;13.6
6.7;2.5;5.8;1.8;Iris-virginica;12.5
7.2;3.6;6.1;2.5;Iris-virginica;13.3
6.5;3.2;5.1;2.0;Iris-virginica;11.6
6.4;2.7;5.3;1.9;Iris-virginica;11.7
6.8;3.0;5.5;2.1;Iris-virginica;12.3
5.7;2.5;5.0;2.0;Iris-virginica;10.7
5.8;2.8;5.1;2.4;Iris-virginica;10.899999999999999
6.4;3.2;5.3;2.3;Iris-virginica;11.7
6.5;3.0;5.5;1.8;Iris-virginica;12.0
7.7;3.8;6.7;2.2;Iris-virginica;14.4
7.7;2.6;6.9;2.3;Iris-virginica;14.600000000000001
6.0;2.2;5.0;1.5;Iris-virginica;11.0
6.9;3.2;5.7;2.3;Iris-virginica;12.600000000000001
5.6;2.8;4.9;2.0;Iris-virginica;10.5
7.7;2.8;6.7;2.0;Iris-virginica;14.4
6.3;2.7;4.9;1.8;Iris-virginica;11.2
6.7;3.3;5.7;2.1;Iris-virginica;12.4
7.2;3.2;6.0;1.8;Iris-virginica;13.2
6.2;2.8;4.8;1.8;Iris-virginica;11.0
6.1;3.0;4.9;1.8;Iris-virginica;11.0
6.4;2.8;5.6;2.1;Iris-virginica;12.0
7.2;3.0;5.8;1.6;Iris-virginica;13.0
7.4;2.8;6.1;1.9;Iris-virginica;13.5
7.9;3.8;6.4;2.0;Iris-virginica;14.3
6.4;2.8;5.6;2.2;Iris-virginica;12.0
6.3;2.8;5.1;1.5;Iris-virginica;11.399999999999999
6.1;2.6;5.6;1.4;Iris-virginica;11.7
7.7;3.0;6.1;2.3;Iris-virginica;13.8
6.3;3.4;5.6;2.4;Iris-virginica;11.899999999999999
6.4;3.1;5.5;1.8;Iris-virginica;11.9
6.0;3.0;4.8;1.8;Iris-virginica;10.8
6.9;3.1;5.4;2.1;Iris-virginica;12.3
6.7;3.1;5.6;2.4;Iris-virginica;12.3
6.9;3.1;5.1;2.3;Iris-virginica;12.0
5.8;2.7;5.1;1.9;Iris-virginica;10.899999999999999
6.8;3.2;5.9;2.3;Iris-virginica;12.7
6.7;3.3;5.7;2.5;Iris-virginica;12.4
6.7;3.0;5.2;2.3;Iris-virginica;11.9
6.3;2.5;5.0;1.9;Iris-virginica;11.3
6.5;3.0;5.2;2.0;Iris-virginica;11.7
6.2;3.4;5.4;2.3;Iris-virginica;11.600000000000001
5.9;3.0;5.1;1.8;Iris-virginica;11.0
